Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,INTPTLAT10,INTPTLON10,geo
0.246477964,0.029775797,0.22186,0.099742931,0.992526102,0.006947695,-6.75712,0.0555552,0.00136021,0.0184,0.0511,0.0114,0.046648733,0.193517,0.3422,0.286840058,34.9527,37.7951225,-122.4653998,POINT(-122.4653998 37.7951225)
0.252229583,0.097571304,0.888631,0.127987052,0.852516587,0.130095113,2.64275,0.0,0.0094365,11.1713,16.7682,7.4832,0.069975365,1.59405,17.6129,0.182330159,52.586,37.7085253,-122.4052693,POINT(-122.4052693 37.7085253)
0.062135994,0.086000005,0.221,0.088033993,0.980999693,0.020999989,244.202,0.0,0.00303996,5.9019,5.4743,3.0778,0.079999994,14.6359,2.1589,0.449999884,37.5197,37.7600843,-122.4439614,POINT(-122.4439614 37.7600843)
,,,,,,,,,,,,,,,,,37.6982781,-123.0030888,POINT(-123.0030888 37.6982781)
0.274633228,0.201849193,0.330815,0.097028808,0.965495401,0.035795916,-5.2,0.0293414,0.00526343,4.0455,11.9391,2.5505,0.064631515,2.35738,0.3428,0.21875282,41.9526,37.7911757,-122.4923383,POINT(-122.4923383 37.7911757)
,,,,,,,,,,,,,,,,,37.8113109,-122.5386591,POINT(-122.5386591 37.8113109)
0.12610187,0.12299989,0.662,0.197439779,0.896999134,0.118999864,193.136,0.0,0.00324452,4.3,8.28,2.8093,0.070999949,2.8169,1.8761,0.249999812,35.933,37.7626006,-122.477642,POINT(-122.477642 37.7626006)
0.126101874,0.122999877,0.662,0.197439803,0.896999201,0.118999881,183.671,0.0,0.00621245,4.3,8.28,2.8093,0.070999929,4.18871,1.8761,0.249999836,39.9196,37.7652384,-122.4820719,POINT(-122.4820719 37.7652384)
0.172002,0.163,0.582,0.195122,0.927,0.113,378.977,0.0,0.00178957,6.3981,10.7178,2.4983,0.077,2.16451,0.2606,0.239,29.2931,37.7513375,-122.4711306,POINT(-122.4711306 37.7513375)
0.172002,0.163,0.582,0.195122,0.927,0.113,378.977,0.0,0.00178957,6.3981,10.7178,2.4983,0.077,2.16451,0.2606,0.239,29.2931,37.7514451,-122.476226,POINT(-122.476226 37.7514451)
0.126102,0.123,0.662,0.19744,0.897,0.119,205.0,0.0,0.00437383,4.3,8.28,2.8093,0.071,1.09722,1.8761,0.25,35.9463,37.7607294,-122.4774882,POINT(-122.4774882 37.7607294)
